XLSTAT 2019.4.2.12345 - ANOVA - Start time: 2020-12-03 at 09:32:26 / End time: 2020-12-03 at 09:32:45 / Microsoft Excel 16.431108,,,,,,,,,,,
Y / Dependent variables: Workbook = frogs.csv / Sheet = frogs / Range = frogs!$A:$A / 3272 rows and 1 column,,,,,,,,,,,
X / Qualitative: Workbook = frogs.csv / Sheet = frogs / Range = 'frogs'!$E:$E / 3272 rows and 1 column,,,,,,,,,,,
Constraints: an=0,,,,,,,,,,,
Confidence interval (%): 95,,,,,,,,,,,
Tolerance: 0.0001,,,,,,,,,,,
Use least squares means: Yes,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Summary statistics (Quantitative data):,,,,,,,,,,,
,,,,,,,,,,,
Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,
distance,3272,0,3272,0,220,124,52,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Summary statistics (Qualitative data):,,,,,,,,,,,
,,,,,,,,,,,
Variable,Categories,Counts,Frequencies,%,,,,,,,
Obs1,1,166,136,30,1,1,134,138,47,43,228
Obs2,1,177,136,42,1,1,134,138,47,43,228
Obs3,1,0,136,-136,-3,1,134,138,47,43,228
Obs4,1,27,136,-109,-2,1,134,138,47,43,228
Obs5,1,0,136,-136,-3,1,134,138,47,43,228
Obs6,1,0,136,-136,-3,1,134,138,47,43,228
Obs7,1,41,136,-95,-2,1,134,138,47,43,228
Obs8,1,0,136,-136,-3,1,134,138,47,43,228
Obs9,1,0,136,-136,-3,1,134,138,47,43,228
Obs10,1,36,136,-100,-2,1,134,138,47,43,228
Obs11,1,0,136,-136,-3,1,134,138,47,43,228
Obs12,1,0,136,-136,-3,1,134,138,47,43,228
Obs13,1,44,136,-92,-2,1,134,138,47,43,228
Obs14,1,41,136,-94,-2,1,134,138,47,43,228
Obs15,1,34,136,-102,-2,1,134,138,47,43,228
Obs16,1,101,136,-35,-1,1,134,138,47,43,228
Obs17,1,101,136,-35,-1,1,134,138,47,43,228
Obs18,1,91,136,-45,-1,1,134,138,47,43,228
Obs19,1,69,136,-67,-1,1,134,138,47,43,228
Obs20,1,82,136,-54,-1,1,134,138,47,43,228
Obs21,1,77,136,-58,-1,1,134,138,47,43,228
Obs22,1,80,136,-56,-1,1,134,138,47,43,228
Obs23,1,0,136,-136,-3,1,134,138,47,43,228
Obs24,1,0,136,-136,-3,1,134,138,47,43,228
Obs25,1,92,136,-44,-1,1,134,138,47,43,228
Obs26,1,78,136,-58,-1,1,134,138,47,43,228
Obs27,1,0,136,-136,-3,1,134,138,47,43,228
Obs28,1,76,136,-60,-1,1,134,138,47,43,228
Obs29,1,0,136,-136,-3,1,134,138,47,43,228
Obs30,1,0,136,-136,-3,1,134,138,47,43,228
Obs31,1,54,136,-81,-2,1,134,138,47,43,228
Obs32,1,0,136,-136,-3,1,134,138,47,43,228
Obs33,1,0,136,-136,-3,1,134,138,47,43,228
Obs34,1,25,136,-111,-2,1,134,138,47,43,228
Obs35,1,0,136,-136,-3,1,134,138,47,43,228
Obs36,1,0,136,-136,-3,1,134,138,47,43,228
Obs37,1,15,136,-121,-3,1,134,138,47,43,228
Obs38,1,0,136,-136,-3,1,134,138,47,43,228
Obs39,1,0,136,-136,-3,1,134,138,47,43,228
Obs40,1,57,136,-79,-2,1,134,138,47,43,228
Obs41,1,0,136,-136,-3,1,134,138,47,43,228
Obs42,1,0,136,-136,-3,1,134,138,47,43,228
Obs43,1,40,136,-96,-2,1,134,138,47,43,228
Obs44,1,0,136,-136,-3,1,134,138,47,43,228
Obs45,1,0,136,-136,-3,1,134,138,47,43,228
Obs46,1,42,136,-94,-2,1,134,138,47,43,228
Obs47,1,72,136,-64,-1,1,134,138,47,43,228
Obs48,1,0,136,-136,-3,1,134,138,47,43,228
Obs49,1,28,136,-108,-2,1,134,138,47,43,228
Obs50,1,28,136,-108,-2,1,134,138,47,43,228
Obs51,1,0,136,-136,-3,1,134,138,47,43,228
Obs52,1,10,136,-126,-3,1,134,138,47,43,228
Obs53,1,0,136,-136,-3,1,134,138,47,43,228
Obs54,1,0,136,-136,-3,1,134,138,47,43,228
Obs55,1,38,136,-97,-2,1,134,138,47,43,228
Obs56,1,50,136,-85,-2,1,134,138,47,43,228
Obs57,1,0,136,-136,-3,1,134,138,47,43,228
Obs58,1,39,136,-97,-2,1,134,138,47,43,228
Obs59,1,0,136,-136,-3,1,134,138,47,43,228
Obs60,1,0,136,-136,-3,1,134,138,47,43,228
Obs61,1,38,136,-97,-2,1,134,138,47,43,228
Obs62,1,0,136,-136,-3,1,134,138,47,43,228
Obs63,1,0,136,-136,-3,1,134,138,47,43,228
Obs64,1,44,136,-92,-2,1,134,138,47,43,228
Obs65,1,0,136,-136,-3,1,134,138,47,43,228
Obs66,1,0,136,-136,-3,1,134,138,47,43,228
Obs67,1,52,136,-84,-2,1,134,138,47,43,228
Obs68,1,95,136,-41,-1,1,134,138,47,43,228
Obs69,1,0,136,-136,-3,1,134,138,47,43,228
Obs70,1,113,136,-23,0,1,134,138,47,43,228
Obs71,1,95,136,-40,-1,1,134,138,47,43,228
Obs72,1,122,136,-14,0,1,134,138,47,43,228
Obs73,1,145,136,10,0,1,134,138,47,43,228
Obs74,1,130,136,-5,0,1,134,138,47,43,228
Obs75,1,111,136,-25,-1,1,134,138,47,43,228
Obs76,1,112,136,-23,0,1,134,138,47,43,228
Obs77,1,111,136,-25,-1,1,134,138,47,43,228
Obs78,1,97,136,-39,-1,1,134,138,47,43,228
Obs79,1,52,136,-84,-2,1,134,138,47,43,228
Obs80,1,76,136,-60,-1,1,134,138,47,43,228
Obs81,1,136,136,0,0,1,134,138,47,43,228
Obs82,1,134,136,-2,0,1,134,138,47,43,228
Obs83,1,137,136,1,0,1,134,138,47,43,228
Obs84,1,0,136,-136,-3,1,134,138,47,43,228
Obs85,1,173,136,37,1,1,134,138,47,43,228
Obs86,1,122,136,-14,0,1,134,138,47,43,228
Obs87,1,160,136,24,1,1,134,138,47,43,228
Obs88,1,175,136,39,1,1,134,138,47,43,228
Obs89,1,82,136,-54,-1,1,134,138,47,43,228
Obs90,1,58,136,-78,-2,1,134,138,47,43,228
Obs91,1,58,136,-78,-2,1,134,138,47,43,228
Obs92,1,89,136,-47,-1,1,134,138,47,43,228
Obs93,1,13,136,-123,-3,1,134,138,47,43,228
Obs94,1,64,80,-16,0,2,76,84,47,-13,172
Obs95,1,98,80,19,0,2,76,84,47,-13,172
Obs96,1,95,80,15,0,2,76,84,47,-13,172
Obs97,1,103,136,-33,-1,1,134,138,47,43,228
Obs98,1,56,136,-80,-2,1,134,138,47,43,228
Obs99,1,157,136,21,0,1,134,138,47,43,228
Obs100,1,53,80,-26,-1,2,76,84,47,-13,172
Obs101,1,57,80,-22,0,2,76,84,47,-13,172
Obs102,1,38,80,-41,-1,2,76,84,47,-13,172
Obs103,1,52,80,-28,-1,2,76,84,47,-13,172
Obs104,1,93,80,14,0,2,76,84,47,-13,172
Obs105,1,85,80,5,0,2,76,84,47,-13,172
